,Gym,Occupancy,Queue Length,Time
0,Bishan,Full,16,Mon Oct 19 21:00:51 2020
1,Century Square,Full,11,Mon Oct 19 21:00:51 2020
2,JCube,Full,18,Mon Oct 19 21:00:51 2020
3,Keat Hong,Full,14,Mon Oct 19 21:00:51 2020
4,Kebun Baru,Full,14,Mon Oct 19 21:00:51 2020
5,Bedok Point,High,2,Mon Oct 19 21:00:51 2020
0,Bishan,Full,13,Mon Oct 19 21:10:51 2020
1,Century Square,Full,5,Mon Oct 19 21:10:51 2020
2,JCube,Full,10,Mon Oct 19 21:10:51 2020
3,Keat Hong,Full,23,Mon Oct 19 21:10:51 2020
4,Kebun Baru,Full,9,Mon Oct 19 21:10:51 2020
5,Bedok Point,Full,0,Mon Oct 19 21:10:51 2020
0,Bishan,Full,7,Mon Oct 19 21:20:51 2020
1,Century Square,Full,4,Mon Oct 19 21:20:51 2020
2,JCube,Full,7,Mon Oct 19 21:20:51 2020
3,Keat Hong,Full,21,Mon Oct 19 21:20:51 2020
4,Kebun Baru,Full,7,Mon Oct 19 21:20:51 2020
5,Bedok Point,Full,5,Mon Oct 19 21:20:51 2020
0,Bishan,Full,0,Mon Oct 19 21:30:51 2020
1,Century Square,Full,7,Mon Oct 19 21:30:51 2020
2,JCube,Full,6,Mon Oct 19 21:30:51 2020
3,Keat Hong,Full,14,Mon Oct 19 21:30:51 2020
4,Kebun Baru,Full,6,Mon Oct 19 21:30:51 2020
5,Bedok Point,Full,6,Mon Oct 19 21:30:51 2020
0,Bishan,High,0,Mon Oct 19 21:40:51 2020
1,Century Square,Full,7,Mon Oct 19 21:40:51 2020
2,JCube,Full,6,Mon Oct 19 21:40:51 2020
3,Keat Hong,Full,12,Mon Oct 19 21:40:51 2020
4,Kebun Baru,Full,3,Mon Oct 19 21:40:51 2020
5,Bedok Point,Full,0,Mon Oct 19 21:40:51 2020
